Title,Series,Volume,Author,Language,Fiction/Non,Genre,Pgs,Publication_date,year_read
Vegan Virgin Valentine,,,Carolyn Mackler,English,Fiction,Young Adult,228,0,
Anastasia,The Royal Diaries,,Carolyn Meyer,English,Fiction,Biography,179,0,
Boy Proof,,,Cecil Castellucci,English,Fiction,Young Adult,203,0,
"Love, Rosie",,,Cecilia Ahern,English,Fiction,Chick Lit,431,2004,
All I Want Is Everything,Gossip Girl,3,Cecily von Ziegesar,English,Fiction,Young Adult,213,0,
Because I'm Worth It,Gossip Girl,4,Cecily von Ziegesar,English,Fiction,Young Adult,232,0,
Gossip Girl,Gossip Girl,1,Cecily von Ziegesar,English,Fiction,Young Adult,199,0,
I Like It Like That,Gossip Girl,5,Cecily von Ziegesar,English,Fiction,Young Adult,201,0,
Nobody Does It Better,Gossip Girl,7,Cecily von Ziegesar,English,Fiction,Young Adult,229,0,2014
Nothing Can Keep Us Together,Gossip Girl,8,Cecily von Ziegesar,English,Fiction,Young Adult,218,0,
Only In Your Dreams,Gossip Girl,9,Cecily von Ziegesar,English,Fiction,Young Adult,232,0,
Would I Lie To You,Gossip Girl,1,Cecily von Ziegesar,English,Fiction,Young Adult,192,0,
You Know You Love Me,Gossip Girl,2,Cecily von Ziegesar,English,Fiction,Young Adult,225,0,
You're the One That I Want,Gossip Girl,6,Cecily von Ziegesar,English,Fiction,Young Adult,227,0,
All Together Dead,Sookie Stackhouse novel,7,Charlaine Harris,English,Fiction,Paranormal Romance,323,0,
Club Dead,Sookie Stackhouse novel,3,Charlaine Harris,English,Fiction,Paranormal Romance,292,0,
Dead and Gone,Sookie Stackhouse novel,9,Charlaine Harris,English,Fiction,Paranormal Romance,312,0,
Dead as a Doornail,Sookie Stackhouse novel,5,Charlaine Harris,English,Fiction,Paranormal Romance,295,0,
Dead in the Family,Sookie Stackhouse novel,1,Charlaine Harris,English,Fiction,Paranormal Romance,311,0,
Dead Reckoning,Sookie Stackhouse novel,11,Charlaine Harris,English,Fiction,Paranormal Romance,325,0,2011
Dead to the World,Sookie Stackhouse novel,4,Charlaine Harris,English,Fiction,Paranormal Romance,291,0,
Dead Until Dark,Sookie Stackhouse novel,1,Charlaine Harris,English,Fiction,Paranormal Romance,292,0,
Definitely Dead,Sookie Stackhouse novel,6,Charlaine Harris,English,Fiction,Paranormal Romance,324,0,
From Dead to Worse,Sookie Stackhouse novel,8,Charlaine Harris,English,Fiction,Paranormal Romance,303,0,
Living Dead In Dallas,Sookie Stackhouse novel,2,Charlaine Harris,English,Fiction,Paranormal Romance,291,0,
Fanfarlo ,,,Charles Baudelaire,English,Fiction,Classic,64,0,2014
Seduced By Magic,,,Cheyenne McGray,English,Fiction,Romance,372,0,
El Cuento del Grial,,,Chretien de Troyes ,English,Fiction,Classic,257,0,2012
Into The Flame,Darkness Chosen,4,Christina Dodd,English,Fiction,Paranormal Romance,377,0,
Into The Shadow,Darkness Chosen,3,Christina Dodd,English,Fiction,Paranormal Romance,378,0,
Just The Way You Are,,,Christina Dodd,English,Fiction,Paranormal Romance,374,0,
Scent of Darkness,Darkness Chosen,1,Christina Dodd,English,Fiction,Paranormal Romance,392,0,
Touch of Darkness,Darkness Chosen,2,Christina Dodd,English,Fiction,Paranormal Romance,378,0,
Trouble In High Heels,,,Christina Dodd,English,Fiction,Paranormal Romance,381,0,
Secondhand Souls ,,,Christopher Moore,English,Fiction,Fantasy,335,0,2016
A Dirty Job,,,Christopher Moore,English,Fiction,Fantasy,384,0,2016
Bloodsucking Fiends,A Love Story,1,Christopher Moore,English,Fiction,Fantasy,290,0,
Coyote Blue,,,Christopher Moore,English,Fiction,Fantasy,294,0,
Fluke,,,Christopher Moore,English,Fiction,Fantasy,311,0,
Fool,,,Christopher Moore,English,Fiction,Fantasy,311,0,
Island Of The Sequined Love Nun,,,Christopher Moore,English,Fiction,Fantasy,322,0,
Lamb,,,Christopher Moore,English,Fiction,Fantasy,444,0,2011
Practical Demonkeeping,,,Christopher Moore,English,Fiction,Fantasy,243,0,
Sacré Bleu: A Comedy D'art,,,Christopher Moore,English,Fiction,Fantasy,403,0,2012
The Lust Lizard of Melancholy Cove,,,Christopher Moore,English,Fiction,Fantasy,304,0,
The Stupidest Angel,,,Christopher Moore,English,Fiction,Fantasy,306,0,
You Suck,A Love Story,2,Christopher Moore,English,Fiction,Fantasy,328,0,
Parnassus on Wheels,,,Christopher Morley,English,Fiction,Classic,142,0,2014
The Haunted Bookshop,,,Christopher Morley,English,Fiction,Classic,233,0,2014
A Density of Souls,,,Christopher Rice,English,Fiction,Mystery,274,0,
Haunted,,,Chuck Palahniuk,English,Fiction,Horror,404,0,
The Second Assistant,,,Clare Naylon,English,Fiction,Chick Lit,357,0,
Mister B. Gone,,,Clive Barker,English,Fiction,Horror,248,2007,
The Hellbound Heart,,,Clive Barker,English,Fiction,Horror,164,1991,
Guilty Little Secrets,,,Connie Lane,English,Fiction,Romance,323,0,
Child of God ,,,Cormac McCarthy,English,Fiction,Horror,186,0,2016
American On Purpose,,,Craig Ferguson,English,Non-Fiction,Memoir,268,0,
Blankets,,,Craig Thompson,English,Non-Fiction,Graphic Novel,582,0,2012
A Piece Of Cake,,,Cupcake Brown,English,Fiction,Autobiography,465,2007,
Prep,,,Curtis Sittenfield,English,Fiction,Young Adult,403,0,
The Lost City of Faar,Pendragon,2,D.J. MacHale,English,Fiction,Young Adult,384,0,
The Merchant of Death,Pendragon,1,D.J. MacHale,English,Fiction,Young Adult,374,0,
The Never War,Pendragon,3,D.J. MacHale,English,Fiction,Young Adult,336,0,
Carnal Machines,,,D.L.King,English,Fiction,Erotica,198,0,2011
Angeles y Demonios,,,Dan Brown,Spanish,Fiction,Science Fiction,606,2000,
Deception Point,,,Dan Brown,English,Fiction,Science Fiction,558,2001,
Digital Fortress,,,Dan Brown,English,Fiction,Science Fiction,430,1995,
El Codigo de Da Vinci,,,Dan Brown,Spanish,Fiction,Science Fiction,557,2003,
Half-Resurrection Blues,Bone Street Rumba,1,Daniel José Older,English,Fiction,Mystery,326,0,2015
Midnight Taxi Tango,Bone Street Rumba,2,Daniel José Older,English,Fiction,Mystery,319,0,2016
Russian Winter,,,Daphne Kalotay,English,Fiction,Contemporary,459,0,
Allies of the Night,Cirque Du Freak,8,Darren Shan,English,Fiction,Young Adult,215,0,
Cirque Du Freak: A living nightmare,Cirque Du Freak,1,Darren Shan,English,Fiction,Young Adult,257,0,
Hunters of the Dusk,Cirque Du Freak,7,Darren Shan,English,Fiction,Young Adult,213,0,
Killers of the Dawn,Cirque Du Freak,9,Darren Shan,English,Fiction,Young Adult,208,0,
Lord of the Shadows,Cirque Du Freak,11,Darren Shan,English,Fiction,Young Adult,220,0,
Sons of Destiny,Cirque Du Freak,12,Darren Shan,English,Fiction,Young Adult,240,0,
The Lake of Souls,Cirque Du Freak,1,Darren Shan,English,Fiction,Young Adult,265,0,
The Vampire Assistant,Cirque Du Freak,2,Darren Shan,English,Fiction,Young Adult,241,0,
The Vampire Prince,Cirque Du Freak,6,Darren Shan,English,Fiction,Young Adult,197,0,
Trials of Death,Cirque Du Freak,5,Darren Shan,English,Fiction,Young Adult,207,0,
Tunnels of Blood,Cirque Du Freak,3,Darren Shan,English,Fiction,Young Adult,224,0,
Vampire Mountain,Cirque Du Freak,4,Darren Shan,English,Fiction,Young Adult,195,0,
Girls for Breakfast,,,David Yoo,English,Fiction,Young Adult,294,0,
Forever Odd,,,Dean Koontz,English,Fiction,Thriller,364,0,
The Good Guy,,,Dean Koontz,English,Fiction,Thriller,386,0,
Velocity,,,Dean Koontz,English,Fiction,Thriller,397,0,
There's Something About Christmas,,,Debbie Macomber,English,Fiction,Chick Lit,284,0,
The Poisoner's Handbook,,,Deborah Blum ,English,Non-Fiction,True Crime,319,0,2012
What Men Want,,,Deborah Blumenthal,English,Fiction,Chick Lit,296,2006,
A Wizard Abroad,Young Wizards,4,Diane Duane,English,Fiction,Young Adult,332,0,
A Wizard Alone,Young Wizards,6,Diane Duane,English,Fiction,Young Adult,320,0,
Deep Wizardry,Young Wizards,2,Diane Duane,English,Fiction,Young Adult,356,0,
High Wizardry,Young Wizards,3,Diane Duane,English,Fiction,Young Adult,338,0,
So You Want to Be A Wizard,Young Wizards,1,Diane Duane,English,Fiction,Young Adult,323,0,
The Wizards Dilemma,Young Wizards,5,Diane Duane,English,Fiction,Young Adult,403,0,
Wizards Holiday,Young Wizards,7,Diane Duane,English,Fiction,Young Adult,416,0,
Bad Boys In Kilts,,,Donna Kauffman,English,Fiction,Romance,306,0,
The Hitchhiker's Guide to the Galaxy,,,Douglas Adams,English,Fiction,Science Fiction,815,1979,
Jpod,,,Douglas Coupland,English,Fiction,Contemporary,449,0,
Who's Afraid Of Virginia Woolf?,,,Edward Albee,English,Fiction,Drama,257,1962,
Story Time,,,Edward Bloor,English,Fiction,Young Adult,424,2001,
Special of the Day,,,Elaine Fox,English,Fiction,Romance,373,0,
Back to the Divide,Divide,2,Elizabeth Kay,English,Fiction,Young Adult,384,0,
Jinx on the Divide,Divide,3,Elizabeth Kay,English,Fiction,Young Adult,368,0,
The Divide,Divide,1,Elizabeth Kay,English,Fiction,Young Adult,318,0,
Alphabet Weekends,,,Elizabeth Noble,English,Fiction,Chick Lit,425,0,
The Friendship test,,,Elizabeth Noble,English,Fiction,Chick Lit,437,0,
The Reading Group,,,Elizabeth Noble,English,Fiction,Chick Lit,429,0,
Kissing Coffins,Vampire Kisses,2,Ellen Schreiber,English,Fiction,Young Adult,165,0,
Vampire Kisses,Vampire Kisses,1,Ellen Schreiber,English,Fiction,Young Adult,197,0,
Vampireville,Vampire Kisses,3,Ellen Schreiber,English,Fiction,Young Adult,176,0,
Heart on My Sleeve,,,Ellen Wittlinger,English,Fiction,Young Adult,217,0,
Sandpiper,,,Ellen Wittlinger,English,Fiction,Young Adult,225,0,
Wuthering Heights,,,Emily Brontë,English,Fiction,Classic,344,1847,
Station Eleven,,,Emily St. John Mandel,English,Fiction,Science Fiction,336,0,2015
The Vacationers,,,Emma Straub,English,Fiction,Chick Lit,292,0,2014
The Supernaturalist,,,Eoin Colfer,English,Fiction,Young Adult,267,0,
The Wish List,,,Eoin Colfer,English,Fiction,Young Adult,252,0,
The Snow Child,,,Eowyn Ivey,English,Fiction,Contemporary,404,0,2015
Genevieve,,,Eric Jerome Dickey,English,Fiction,Contemporary,290,0,
The Devil in the White City ,,,Erik Larson,English,Fiction,True Crime,447,0,2019
The Book of Speculation ,,,Erika Swyler,English,Fiction,Fantasy,339,0,2016
The Night Circus,,,Erin Morgenstern,English,Fiction,Fantasy,386,0,2012
A Moveable Feast,,,Ernest  Hemingway,English,Non-Fiction,Memoir,225,1964,2011
The Sun Also Rises,,,Ernest Hemingway,English,Fiction,Classic,251,1926,2011
Cuando Era Puertorriqueña,,,Esmeralda Santiago,Spanish,Fiction,Autobiography,296,0,
I Am An Emotional Creature,,,Eve Ensler,English,Non-Fiction,Essays,144,0,2011
The Vagina Monologues,,,Eve Ensler,English,Non-Fiction,Essays,166,0,2011
Ajuar Funerario,,,Fernando Iwasaki,Spanish,Fiction,Short stories,121,0,2011
El Libro del mal amor,,,Fernando Iwasaki,Spanish,Fiction,Short stories,214,0,2011
Helarte de amar,,,Fernando Iwasaki,Spanish,Fiction,Short stories,150,0,2011
Ecstasia,Primavera,2,Francesca Lia Block,English,Fiction,Young Adult,196,1993,
Primavera,Primavera,1,Francesca Lia Block,English,Fiction,Young Adult,189,1994,
Violet & Claire,,,Francesca Lia Block,English,Fiction,Young Adult,169,1999,
Agent Out,Fearless FBI,3,Francine Pascal,English,Fiction,Young Adult,239,0,
Kill Game,Fearless FBI,1,Francine Pascal,English,Fiction,Young Adult,262,0,
Live Bait,Fearless FBI,2,Francine Pascal,English,Fiction,Young Adult,177,0,
Naked Eye,Fearless FBI,4,Francine Pascal,English,Fiction,Young Adult,232,0,
Vejigantes,,,Francisco Arrivi,Spanish,Fiction,Drama,126,1973,
House,,,Frank Peretti,English,Fiction,Horror,372,0,
La Condena,,,Franz Kafka,Spanish,Fiction,Classic,206,0,2013
La Metamorfosis,,,Franz Kafka,Spanish,Fiction,Classic,125,0,2013
Cronica de una muerte anunciada,,,Gabriel Garcia Marquez,Spanish,Fiction,Classic,118,0,
Memoria de mis putas tristes,,,Gabriel Garcia Marquez,Spanish,Fiction,Classic,109,0,2012
The Two Princesses of Bamarre,,,Gail Carson Levine,English,Fiction,Young Adult,241,0,
Playing in Traffic,,,Gail Giles,English,Fiction,Young Adult,176,0,
Shattering Glass,,,Gail Giles,English,Fiction,Young Adult,215,0,
Unbridled Rage,,,Gene O'Shea,English,Fiction,True Crime,321,0,
The African Samurai ,,,Geoffrey Girard,English,Fiction,Biography,480,0,2019
A Clash of Kings,A Song of Ice and Fire,2,George R. R. Martin,English,Fiction,Fantasy,824,0,2012
A Dance With Dragons,A Song of Ice and Fire,5,George R. R. Martin,English,Fiction,Fantasy,1125,0,2013
A Feast for Crows,A Song of Ice and Fire,4,George R. R. Martin,English,Fiction,Fantasy,759,0,2012
A Game of Thrones,A Song of Ice and Fire,1,George R. R. Martin,English,Fiction,Fantasy,753,0,
A Storm of Swords,A Song of Ice and Fire,3,George R. R. Martin,English,Fiction,Fantasy,1068,0,2012
Molly Moon Stops the World,Molly Moon,3,Georgia Byng,English,Fiction,Young Adult,374,0,
Molly Moon y el Increible Libro del Hipnotismo,Molly Moon,1,Georgia Byng,Spanish,Fiction,Young Adult,248,0,
Molly Moon's Hypnotic Time Travel Adventure,Molly Moon,2,Georgia Byng,English,Fiction,Young Adult,392,0,
Real Vampires Live Large,,,Gerry Bartlet,English,Fiction,Paranormal Romance,297,2007,
El pergamino de la seduccion,,,Gioconda Belli,Spanish,Fiction,Historical Fiction,402,2005,
Hollywood Hustle,Son of the Mob,2,Gordon Korman,English,Fiction,Young Adult,268,0,
Son of the Mob,Son of the Mob,1,Gordon Korman,English,Fiction,Young Adult,262,0,
He's Just Not That Into You,,,Greg Behrendt,English,Non-Fiction,Psychology,165,2004,
Wicked:The Life And Times Of The Wicked Witch Of The West,,,Gregory Maguire,English,Fiction,Contemporary,406,0,
Acerca de Roderer,,,Guillermo Martinez,Spanish,Fiction,Mystery,136,0,
T.Witches,,,H.B. Gilmour,English,Fiction,Young Adult,308,0,
After Summer,Summer Boys,3,Hailey Abbott,English,Fiction,Young Adult,163,2006,
Next Summer,Summer Boys,2,Hailey Abbott,English,Fiction,Young Adult,230,2005,
Summer Boys,Summer Boys,1,Hailey Abbott,English,Fiction,Young Adult,214,2005,
The Bridesmaid ,,,Hailey Abbott,English,Fiction,Young Adult,266,2005,
Bad Things Happen,,,Harry Dolan,English,Fiction,Mystery,338,0,2011
On Bullshit,,,Harry G. Frankfurt,English,Fiction,Essays,67,0,
Underground,,,Haruki Murakami ,English,Fiction,True Crime,366,0,2012
The Lonely Hearts Hotel ,,,Heather O’Neill,English,Fiction,Contemporary,391,0,2017
Olivia Joules and the Overactive Imagination,,,Helen Fielding,English,Fiction,chick Lit,306,0,
Faerie Wars,Faerie Wars,1,Herbie Brennan,English,Fiction,Young Adult,368,2003,
The Purple Emperor ,Faerie Wars,2,Herbie Brennan,English,Fiction,Young Adult,424,2004,
"Little Lady, Big Apple",Little Lady,2,Hester Browne,English,Fiction,Chick Lit,360,0,
The Finishing Touches,,,Hester Browne,English,Fiction,Chick Lit,411,0,
The Little Lady Agency,Little Lady,1,Hester Browne,English,Fiction,Chick Lit,376,2006,
The Little Lady Agency and the Prince,Little Lady,3,Hester Browne,English,Fiction,Chick Lit,391,0,
Tithe,,,Holly Black,English,Fiction,Young Adult,331,2002,
La Odisea,,,Homer,Spanish,Fiction,Classic,541,0,2012
The Glittering Hour ,,,Iona Grey,English,Fiction,Contemporary,471,0,2019
Warm Bodies,,,Isaac Marion ,English,Fiction,Science Fiction,256,0,2013
El Bosque de los Pigmeos,La Ciudad de las Bestias,3,Isabel Allende,Spanish,Fiction,Young Adult,290,2004,
El Reino del Dragon de Oro,La Ciudad de las Bestias,2,Isabel Allende,Spanish,Fiction,Young Adult,420,2003,
La Ciudad de las Bestias,La Ciudad de las Bestias,1,Isabel Allende,Spanish,Fiction,Young Adult,401,2002,
Break Every Rule,Insiders,4,J. Minter,English,Fiction,Young Adult,247,0,
Girls We Love,Insiders,6,J. Minter,English,Fiction,Young Adult,215,0,
Hold On Tight,Insiders,5,J. Minter,English,Fiction,Young Adult,295,0,
Insiders,Insiders,1,J. Minter,English,Fiction,Young Adult,280,0,
Pass It On,Insiders,2,J. Minter,English,Fiction,Young Adult,346,0,
Take It Off,Insiders,3,J. Minter,English,Fiction,Young Adult,334,0,
Platero y Yo,,,J. R. Jiménez,Spanish,Non-Fiction,Poetry,175,1914,2011
The Catcher In the Rye,,,J.D. Salinger,English,Fiction,Classic,214,1951,
Harry Potter and the Chamber of Secrets,Harry Potter,2,J.K. Rowling,English,Fiction,Fantasy,341,0,2011
Harry Potter and the Deathly Hallows,Harry Potter,7,J.K. Rowling,English,Fiction,Fantasy,759,0,2011
Harry Potter and the Goblet of Fire,Harry Potter,4,J.K. Rowling,English,Fiction,Fantasy,734,0,2011
Harry Potter and the Half-Blood Prince,Harry Potter,6,J.K. Rowling,English,Fiction,Fantasy,652,0,2011
Harry Potter and the Order of the Poenix,Harry Potter,5,J.K. Rowling,English,Fiction,Fantasy,870,0,2011
Harry Potter and the Prisoner of Azkaban,Harry Potter,3,J.K. Rowling,English,Fiction,Fantasy,435,0,2011
Harry Potter and the Sorcerer's Stone,Harry Potter,1,J.K. Rowling,English,Fiction,Fantasy,309,0,2011
Harry Potter y el Caliz de Fuego,Harry Potter,4,J.K. Rowling,Spanish,Fiction,Fantasy,635,0,
Harry Potter y el Prisionero de Azkaban,Harry Potter,3,J.K. Rowling,Spanish,Fiction,Fantasy,359,0,
Harry Potter y la Camara de los Secretos,Harry Potter,2,J.K. Rowling,Spanish,Fiction,Fantasy,286,0,
Harry Potter y la Piedra Filosofal,Harry Potter,1,J.K. Rowling,Spanish,Fiction,Fantasy,254,1997,
Dark Lover,Black Dagger Brotherhood,1,J.R. Ward,English,Fiction,Paranormal Romance,393,0,2011
Lover at Last,Black Dagger Brotherhood,11,J.R. Ward,English,Fiction,Paranormal Romance,608,0,2013
Lover Avenged,Black Dagger Brotherhood,7,J.R. Ward,English,Fiction,Paranormal Romance,527,0,2012
Lover Awakened,Black Dagger Brotherhood,3,J.R. Ward,English,Fiction,Paranormal Romance,434,0,2011
Lover Enshrined,Black Dagger Brotherhood,6,J.R. Ward,English,Fiction,Paranormal Romance,534,0,2012
Lover Eternal,Black Dagger Brotherhood,2,J.R. Ward,English,Fiction,Paranormal Romance,441,0,2011
Lover Mine,Black Dagger Brotherhood,8,J.R. Ward,English,Fiction,Paranormal Romance,512,0,2012
Lover Reborn,Black Dagger Brotherhood,1,J.R. Ward,English,Fiction,Paranormal Romance,572,0,2012
Lover Revealed,Black Dagger Brotherhood,4,J.R. Ward,English,Fiction,Paranormal Romance,455,0,2011
Lover Unbound,Black Dagger Brotherhood,5,J.R. Ward,English,Fiction,Paranormal Romance,528,0,2012
Lover Unleashed,Black Dagger Brotherhood,9,J.R. Ward,English,Fiction,Paranormal Romance,487,0,2012
The King ,Black Dagger Brotherhood,12,J.R. Ward,English,Fiction,Paranormal Romance,591,0,2015
The Shadows ,Black Dagger Brotherhood,13,J.R. Ward,English,Fiction,Paranormal Romance,590,0,2015
The Hobbit,,,J.R.R Tolkien ,English,Fiction,Science Fiction,322,0,2012
The Return of the King,Lord of the Rings,2,J.R.R Tolkien ,English,Fiction,Science Fiction,410,0,2012
The Two Towers,Lord of the Rings,3,J.R.R Tolkien ,English,Fiction,Science Fiction,402,0,2012
The Fellowship of the Ring,Lord of the Rings,1,J.R.R. Tolkien,English,Fiction,Science Fiction,398,1954,2011
What I'd Say To The Martians,,,Jack Handey,English,Non-Fiction,Essays,170,0,
The Year of the Secret Assignments,,,Jaclyn Moriarty,English,Fiction,Young Adult,340,0,
Totally Joe,,,James Howe,English,Fiction,Young Adult,189,0,
Northanger Abbey,,,Jane Austen,English,Fiction,Classic,241,1817,
Pride And Prejudice,,,Jane Austen,English,Fiction,Classic,334,1813,
Manhunt,,,Janet Evanovich,English,Fiction,Romance,219,0,
Smitten,,,Janet Evanovich,English,Fiction,Romance,234,0,
Spaceman of Bohemia ,,,Jaroslav Kalfar,English,Fiction,Contemporary,277,0,2017
First Among Sequels,Thursday Next,5,Jasper Fforde,English,Fiction,Fantasy,362,0,2011
Lost In A Good Book,Thursday Next,2,Jasper Fforde,English,Fiction,Fantasy,399,0,2011
One of Our Thursdays Is Missing,Thursday Next,6,Jasper Fforde,English,Fiction,Fantasy,359,0,2012
Shades of Grey,Shades of Grey,1,Jasper Fforde,English,Fiction,Fantasy,390,0,
Something Rotten,Thursday Next,4,Jasper Fforde,English,Fiction,Fantasy,383,0,2011
The Big Over Easy,Nursery Crime,1,Jasper Fforde,English,Fiction,Fantasy,383,0,
The Eyre Affair,Thursday Next,1,Jasper Fforde,English,Fiction,Fantasy,374,0,2011
The Fourth Bear,Nursery Crime,2,Jasper Fforde,English,Fiction,Fantasy,375,0,
The Well of Lost Plots,Thursday Next,3,Jasper Fforde,English,Fiction,Fantasy,373,0,2011
The Woman Who Died A Lot,Thursday Next,7,Jasper Fforde,English,Fiction,Fantasy,366,0,2013
The Holy Terrors,,,Jean Cocteau,English,Fiction,Classic,183,1929,
Once Upon A Marigold,,,Jean Ferris,English,Fiction,Young Adult,266,0,
